subject_code,subject_name,semester,unit_number,unit_name,topics,practical_components
BHM-201,Food Production Foundation - II,2,1,Soups,"Introduction, Classification and types - Broth, Bouillon, Puree, Cream, Veloute, Chowder, Bisque, Garnishes and accompaniments, International Soups","Soup preparation techniques and garnishing"
BHM-201,Food Production Foundation - II,2,2,Egg Poultry & Game,"Eggs: Introduction, Usage in Kitchen, Structure of an Egg, Classification, Grading of Eggs, Types, Selection, Storage and preparation of breakfast dishes with eggs. Poultry: Introduction, Classification, Selection Criterion, Cuts of Poultry, Yield and simple Indian preparations, Storage and Handling","Hard & soft boiled eggs, Fried eggs, Poached eggs, Scrambled eggs, Omelets (Plain, Spanish, Stuffed), Cuts of poultry, Deboning & jointing poultry"
BHM-201,Food Production Foundation - II,2,3,Fish Cookery,"Introduction to fish cookery, Classification of fish with examples, Cuts of fish, Selection of fish, Purchasing & Storing Considerations, Popular Species of Fish, Classical Preparations of Fish, Cooking of fish (effects of heat), Common cooking methods used for sea foods","Cuts of fish, Filleting of fish"
BHM-201,Food Production Foundation - II,2,4,Meat Cookery,"Introduction, Characteristics, Selection and Grading, Classification (Bovines, Ovines and Swines), Categories, Cuts of Meat, Storage and Handling","Cuts of meat"
BHM-201,Food Production Foundation - II,2,5,Pastry and Simple Breads,"Shortcrust/Laminated/Choux/Puff - Recipes and methods of preparation, Differences, Uses of each pastry, Care to be taken while preparing pastry, Role of each ingredient, Temperature of baking pastry, Principles of bread making, Simple yeast breads, Role of each ingredient in bread making, Baking temperature and its importance","Demonstration and Preparation of simple breads and Pastries"
BHM-202,Food & Beverage Service Foundation - II,2,1,Meals And Menu Planning,"Origin of Menu, Objectives of Menu Planning, Types of Menu, Courses of French Classical Menu, French Names of Dishes, Types of meals (Early Morning Tea, Breakfast, Brunch, Lunch, High Tea, Dinner, Supper)","Menu planning exercises and French menu knowledge"
BHM-202,Food & Beverage Service Foundation - II,2,2,Food Service,"Preparation for service: a) Organising Mise-en-scene, b) Organising Mise-en place. Type of food service: a) Silver Service, b) Pre-Plated Service, c) Cafeteria Service, d) Room Service, e) Buffet Service, f) Gueridon Service, g) Lounge Service","Breakfast Services: Types, Breakfast Layouts, Menu Knowledge, Table Services, Clearance & Acknowledging guests. Familiarisation with Food Service in Restaurants (Receiving Guests, Table Layouts, Complimenting them, Presentation of Bills)"
BHM-202,Food & Beverage Service Foundation - II,2,3,Food Service Procedure,"Introduction, Rules to be observed while waiting at the table, Service procedure for A' la Carte Lunch, Service procedure for Table d' hote menu, Do's and Don'ts during the Services","Table Layouts, Presenting Menus, Food Pick Up Procedures, Clearance and Dishwashing Procedures"
BHM-202,Food & Beverage Service Foundation - II,2,4,Order Taking and Billing Methods,"Introduction, Checking System in Food Service Operations, Methods of taking Food Order, Billing, Records & Documentation","Order taking practice and billing procedures"
BHM-202,Food & Beverage Service Foundation - II,2,5,Room Service In Room Dining,"Introduction, Concept of Room Service/In Room Dining, Salient Features of room service, Understanding Guest expectations in Room Service, Room Service Equipments, Set up of Trays & Trolleys, Upkeep and Storage, Service Tools, Clearance, Presentation of Bill, Mini Bar Management in Guest Rooms","Room Service Practical, Taking of Orders, Delivery of Food Services, Identifying Room Service Equipment, Importance of Menu Knowledge for Order-taking (RSOT functions/procedures), Room service Layout Knowledge, Laying of trays for various orders, Pantry Elevator Operations, Clearance Procedure in Dishwashing area, Room service Inventories and store requisitions"
BHM-203,Housekeeping Skills - II,2,1,Daily Routines And Planning of Housekeeping Operation,"Daily Routine and System: Introduction, The Housekeeping Day (Opening The House, Morning Shift, Afternoon/Evening Shift, Night Shift) Role of the Night Supervisor and Night GRA. Planning Housekeeping Operations: Introduction, The Planning Process (Division of Work Document, Area Inventory Lists, Frequency Schedules, Performance Standards, Equipment and Operating Supply Inventory Level, Work Schedules)","Routine planning exercises and work scheduling"
BHM-203,Housekeeping Skills - II,2,2,Hotel Guest Rooms And Standard Contents of a Guest room,"Hotel Guestrooms: Introduction and Types of Guestroom, Important of the Guest room to a Guest, Guestroom Status, Guest Floor Rules. Standard Contents of a Guest room: Introduction, Guest Furniture (Selection and Type of Furniture, Common Furniture Items in Guestrooms), Furniture Arrangement (Principle and Elements of Design, Furniture Arrangement in Guestroom), Guestroom Fixture and Fittings and its Types, Beds, Mattresses and Bedding, Soft Furniture and its Types, Guestroom Accessories, Placement of Guest Supplies","Room inspection, Preparing Rooms for Special Occasions/Guests/VIP etc., Designing Rooms for Different Categories of Guest"
BHM-203,Housekeeping Skills - II,2,3,Cleaning of Guestrooms And Public Areas,"Introduction, Types and Nature of Soil, Standards of Cleaning, The Science of Cleaning (Terminology and Principle of Cleaning, Cleaning Procedure, Frequency and Organization of Cleaning). The Cleaning Process (Bed-making, Procedure for Traditional Bed-making, Daily Cleaning of a Guest room, Turndown and Second Service, Closing Down after Cleaning). Cleaning Public Areas: Introduction, Entrances, Lobbies, Front Desk, Elevators, Staircases, Guest Corridors, Public Restrooms, Banquet Halls, Dining Rooms, Leisure Areas","Basic Cleaning Procedure in Guest Room, Cleaning of Check-out Room, Occupied Room and Vacant Room, Evening Service/Turndown Service, Procedure for Bed Making (Day Bed and Night Bed), Procedure for Cleaning Bathrooms, Cleaning and Upkeep of Public Areas, Public Area Cleaning Programmed (Regular, Periodical, Special)"
BHM-203,Housekeeping Skills - II,2,4,Supervision And Control Desk of Housekeeping,"Supervision in Housekeeping: Introduction, Role of Supervisor, Specific Functions of Supervisors. Housekeeping Control Desk: Introduction, Forms, Formats, Records and Registers, Coordination with Other Departments, Gate Pass Procedure, Handling Telephone Calls, Paging Systems and Methods, Handling Difficult Situation and Room Transfers","Supervisor and Control of Housekeeping Desk, Preparing Guest Rooms and Checking through Checklists"
BHM-203,Housekeeping Skills - II,2,5,Internal Environment,"Introduction, Meaning of Noise and its Control, Air-conditioning, Meaning of Odours and its Control, Light (Measurement of Light or Illumination, Lighting in Hotels, Light Switches)","Environment assessment and control"
BHM-204,Front Office Foundation - II,2,1,Front Office Terminologies And Reports,"Check-in, Check-Out, In-House, Walk-in, Arrival and Departure Register, Arrival, Expected Arrival, Departure, Expected Departure, Out of Service, Out Of Order, Wake up Call, Do not Disturb, Self check-in, Web Check-in, C Form, No-Show Single/Double Occupancy, Local/Foreign Guest In-House. Reports of Front Office Department: Occupancy, Month to Date, Year to Date, VIP, Pick-up and Drop, Long Staying, Honeymooners, Arrival and Departure, No-Show, Allowance, Night Audit, Market Share, Market Segment etc.","Terminology exercises and report preparation"
BHM-204,Front Office Foundation - II,2,2,Front And Back Areas of the Hotel,"Front Areas: Lobby, Guest Elevators, Floor Pantries, Gymnasium, Spa, Concessionaire, Banquet halls, Business Centre, Swimming Pool, Gardens, Food and Service Outlets. Back Areas: Offices (HR, Sales, Training, Purchase), Cafeteria, Staff Lockers, Store rooms. Front Office Department coordination with other Departments","Area identification and familiarization"
